param,cc_trt,site_sys,estimate,std.error,df,statistic,p.value,conf.low,conf.high,cov,cilevel
field capacity,cc,Central_grain,0.37507361498981084,0.009454902983518391,26,39.66974760540982,8.625268497449556e-25,0.3556387835676765,0.3945084464119452,sand,0.95
field capacity,no,Central_grain,0.3799508025638134,0.009122537480982228,26,41.64968391260629,2.4776096681226255e-25,0.3611991582165315,0.39870244691109535,sand,0.95
field capacity,cc,Central_silage,0.40602445271902377,0.008565896394180476,26,47.40011249667575,8.954227992542983e-27,0.38841700051242095,0.4236319049256266,sand,0.95
field capacity,no,Central_silage,0.3814654179063932,0.00921689530691516,26,41.3876262237883,2.912611974507748e-25,0.3625198182701398,0.40041101754264663,sand,0.95
field capacity,cc,East_grain,0.33078469297395185,0.01312028734606382,26,25.211695769238595,8.414165190298196e-20,0.30381555609066413,0.3577538298572396,sand,0.95
field capacity,no,East_grain,0.3353146222246679,0.014749692665113752,26,22.7336684118009,1.1073645290030324e-18,0.30499619474059175,0.36563304970874405,sand,0.95
field capacity,cc,West_grain,0.3601207468884808,0.009632920351137017,26,37.38437916659138,3.932196884129331e-24,0.3403199955266166,0.37992149825034494,sand,0.95
field capacity,no,West_grain,0.33596746094267427,0.008946851168491194,26,37.551475330882496,3.5088166073480864e-24,0.31757694498268424,0.3543579769026643,sand,0.95
field capacity,cc,Central_grain,0.3508258992805767,0.010862118642456571,20.580780075503355,32.29810968086002,4.097130414751475e-19,0.32820883710814697,0.3734429614530065,none,0.95
field capacity,no,Central_grain,0.35886043165467707,0.010862118642456575,20.580780075503377,33.03779340542328,2.5926896605728375e-19,0.3362433694822473,0.38147749382710683,none,0.95
field capacity,cc,Central_silage,0.3913093525179857,0.010862118642456564,20.580780075503416,36.02514071136012,4.493744559662245e-20,0.368692290345556,0.4139264146904154,none,0.95
field capacity,no,Central_silage,0.3664734165514285,0.011825303904602147,23.409912473299986,30.990612969262052,1.6375476789155844e-20,0.34203459179390955,0.3909122413089475,none,0.95
field capacity,cc,East_grain,0.37699280575539595,0.012144217832100308,20.580780075503416,31.04298777965811,9.11877637792781e-19,0.35170616152094997,0.40227944998984194,none,0.95
field capacity,no,East_grain,0.3917769784172661,0.012144217832100311,20.580780075503377,32.26037146515094,4.195039374670883e-19,0.3664903341828201,0.4170636226517121,none,0.95
field capacity,cc,West_grain,0.3429280575539573,0.012144217832100304,20.580780075503416,28.237969896052906,6.135349544115608e-18,0.31764141331951135,0.3682147017884032,none,0.95
field capacity,no,West_grain,0.336223021582734,0.012144217832100304,20.580780075503416,27.685852331634706,9.120194471386432e-18,0.31093637734828805,0.3615096658171799,none,0.95
