term,estimate,se,pval,ci.lb,ci.up,param
intrcpt,0.40416748584353013,0.019092184537747355,1.8340088739412863e-99,0.3667474917633528,0.44158747992370745,Thr-sand
cc_trtzcc,0.013314338383860229,0.003785763241001847,4.3653671982206194e-4,0.00589437877750098,0.020734297990219478,Thr-sand
sand,-0.003483370770079118,4.824772619942024e-4,5.207882344746008e-13,-0.00442900882694725,-0.0025377327132109855,Thr-sand
intrcpt,0.32376964528122837,0.024149828759408836,5.523856319449964e-41,0.2764368506799774,0.3711024398824793,Thr
cc_trtzcc,0.007192511545518851,0.0035922028598501616,0.045257151265505044,1.5192331505075197e-4,0.01423309977598695,Thr
intrcpt,0.624785059317348,0.02768593562616675,9.170158048986453e-113,0.5705216226117668,0.6790484960229292,Ths-sand
cc_trtzcc,5.207884115984668e-4,0.0018762470063202336,0.7813430655004813,-0.0031565881468902856,0.00419816497008722,Ths-sand
sand,-0.0059426704067173765,1.972959997269765e-4,2.60541953349656e-199,-0.006329363460476075,-0.005555977352958678,Ths-sand
intrcpt,0.4798369195776419,0.01496389522479791,1.3007285979933763e-225,0.4505082238686071,0.5091656152866767,Ths
cc_trtzcc,-0.015743767306125353,0.0017142686804437117,4.1554029871486303e-20,-0.01910367217962003,-0.012383862432630675,Ths
intrcpt,0.0990720563619646,0.01750184688655166,1.5078932266579014e-8,0.06476906680138889,0.13337504592254032,alp-sand
cc_trtzcc,4.280186797813698e-4,0.003916772352670374,0.9129816653421081,-0.007248714067094777,0.008104751426657517,alp-sand
sand,-0.0020847511502051826,3.514078013072938e-4,2.982303591625277e-9,-0.002773497784653886,-0.0013960045157564794,alp-sand
intrcpt,0.0513328617857961,0.028787685942497806,0.07456132607352647,-0.005089965859749593,0.1077556894313418,alp
cc_trtzcc,-0.013301816066048107,0.0031428151358606333,2.3115664949857385e-5,-0.019461620542402303,-0.00714201158969391,alp
intrcpt,0.6071661642209241,0.11883154173297632,3.230642605694648e-7,0.37426062219692213,0.840071706244926,scal-sand
cc_trtzcc,0.019222541358040062,0.05092718352773159,0.7058381073877842,-0.08059290419037533,0.11903798690645546,scal-sand
sand,0.008919238913595032,0.004731134632494382,0.05939987694000833,-3.5361457210410056e-4,0.018192092399294167,scal-sand
intrcpt,0.7963812332031253,0.08316105243960953,1.0051307795075454e-21,0.6333885655050437,0.9593739009012068,scal
cc_trtzcc,0.05504678556450878,0.04674947824819182,0.23900218442421603,-0.03658050809798583,0.1466740792270034,scal
