year,GEOID,state_alpha,state_ansi,county_ansi,county_name,Yield_mg_ha,County_avg_yield,Yield_decomp_add,Yield_decomp_mult,loss_cost,ssurgo_clay_mean,ssurgo_sand_mean,ssurgo_silt_mean,ssurgo_om_mean,ssurgo_awc_mean,ssurgo_cec_mean,ssurgo_ph_mean,ssurgo_order_mode,DSCI.mean,summer_spei,ssurgo_silt_clay_mean,ssurgo_h,ssurgo_h_square,spei.cut
2000,1019,AL,1,19,CHEROKEE,2.9516,5.98955,3.205850297,0.514637448,24.67324753,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,1.908310638,-0.747952605,-0.619698855,1.155452662,0.727130462,Severe
2001,1019,AL,1,19,CHEROKEE,7.4732,5.98955,7.529553022,1.259557036,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.160099006,0.328971161,-0.619698855,1.155452662,0.727130462,Normal
2002,1019,AL,1,19,CHEROKEE,4.8984,5.98955,4.659971602,0.786515252,3.418803419,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,0.578432097,-0.252969011,-0.619698855,1.155452662,0.727130462,Moderate
2003,1019,AL,1,19,CHEROKEE,8.2896,5.98955,7.427317425,1.209836917,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.332859293,1.138336228,-0.619698855,1.155452662,0.727130462,Normal
2004,1019,AL,1,19,CHEROKEE,8.9804,5.98955,8.21186671,1.328838313,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.060529167,0.302215291,-0.619698855,1.155452662,0.727130462,Normal
2005,1019,AL,1,19,CHEROKEE,8.478,5.98955,8.23387102,1.360031536,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.332859293,0.170665597,-0.619698855,1.155452662,0.727130462,Normal
2006,1019,AL,1,19,CHEROKEE,4.2704,5.98955,4.710461657,0.769512383,40.36051394,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,0.593907026,-0.859435397,-0.619698855,1.155452662,0.727130462,Severe
2007,1019,AL,1,19,CHEROKEE,2.198,5.98955,3.537680964,0.472701485,126.6911902,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,2.928185265,-1.191654116,-0.619698855,1.155452662,0.727130462,Very severe
2009,1019,AL,1,19,CHEROKEE,5.2124,5.98955,6.683965882,1.153700381,48.81191068,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.271964755,0.032426935,-0.619698855,1.155452662,0.727130462,Normal
2010,1019,AL,1,19,CHEROKEE,4.09456,5.98955,4.847897461,0.781969786,30.39783992,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.006676598,-0.462556659,-0.619698855,1.155452662,0.727130462,Moderate
2011,1019,AL,1,19,CHEROKEE,7.1906,5.98955,7.41531535,1.247321118,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,0.0338442,-0.712278112,-0.619698855,1.155452662,0.727130462,Severe
2012,1019,AL,1,19,CHEROKEE,5.08052,5.98955,4.856769157,0.817684533,34.47581988,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,0.695294656,-0.406815263,-0.619698855,1.155452662,0.727130462,Moderate
2013,1019,AL,1,19,CHEROKEE,7.65532,5.98955,7.133746864,1.175729569,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.332859293,0.585381582,-0.619698855,1.155452662,0.727130462,Normal
2014,1019,AL,1,19,CHEROKEE,7.10896,5.98955,6.598556263,1.093693938,0,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,-0.326203139,-0.085744824,-0.619698855,1.155452662,0.727130462,Moderate
2015,1019,AL,1,19,CHEROKEE,6.1544,5.98955,5.594891521,0.939738135,17.0893289,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,0.26711779,-0.446949068,-0.619698855,1.155452662,0.727130462,Moderate
2016,1019,AL,1,19,CHEROKEE,5.79644,5.98955,5.185084803,0.878128049,36.56655017,-0.202594334,0.625148993,-0.57056861,-0.572220916,-0.614247926,-0.449278737,-0.89841378,Ultisols,1.423400074,-0.63869947,-0.619698855,1.155452662,0.727130462,Severe
2000,1043,AL,1,43,CULLMAN,3.768,6.94411,4.585298028,0.615001736,7.846988403,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,1.496018327,-1.283070005,-0.737040282,1.749549774,1.577629086,Very severe
2001,1043,AL,1,43,CULLMAN,9.2316,6.94411,9.798681325,1.447633447,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.283689387,0.235325616,-0.737040282,1.749549774,1.577629086,Normal
2002,1043,AL,1,43,CULLMAN,5.8404,6.94411,5.997077357,0.860472627,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.103450714,0.31336357,-0.737040282,1.749549774,1.577629086,Normal
2003,1043,AL,1,43,CULLMAN,7.5988,6.94411,7.301680831,1.049379853,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.332859293,0.632204354,-0.737040282,1.749549774,1.577629086,Normal
2004,1043,AL,1,43,CULLMAN,8.164,6.94411,8.096115978,1.164290781,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.293934415,0.184043532,-0.737040282,1.749549774,1.577629086,Normal
2005,1043,AL,1,43,CULLMAN,7.85,6.94411,8.861523022,1.323200154,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.328523061,0.159517318,-0.737040282,1.749549774,1.577629086,Normal
2006,1043,AL,1,43,CULLMAN,3.3912,6.94411,4.913012238,0.625417517,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,0.554771953,-0.823760904,-0.737040282,1.749549774,1.577629086,Severe
2007,1043,AL,1,43,CULLMAN,3.0144,6.94411,5.018942895,0.610255906,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,2.953517576,-1.392323141,-0.737040282,1.749549774,1.577629086,Very severe
2009,1043,AL,1,43,CULLMAN,6.5312,6.94411,7.842705764,1.159534689,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.332859293,0.690175406,-0.737040282,1.749549774,1.577629086,Normal
2010,1043,AL,1,43,CULLMAN,5.70852,6.94411,6.264709007,0.893642862,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.331816106,-0.259657978,-0.737040282,1.749549774,1.577629086,Moderate
2011,1043,AL,1,43,CULLMAN,8.12632,6.94411,8.144884336,1.173383354,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.155879549,-0.765789852,-0.737040282,1.749549774,1.577629086,Severe
2012,1043,AL,1,43,CULLMAN,5.94088,6.94411,5.428814544,0.796773096,30.05306535,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,0.275575479,-0.268576602,-0.737040282,1.749549774,1.577629086,Moderate
2013,1043,AL,1,43,CULLMAN,8.17656,6.94411,6.79443572,0.982023773,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.332859293,0.52741053,-0.737040282,1.749549774,1.577629086,Normal
2014,1043,AL,1,43,CULLMAN,10.2678,6.94411,8.56623951,1.187623333,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,-0.19538395,-0.114730349,-0.737040282,1.749549774,1.577629086,Moderate
2015,1043,AL,1,43,CULLMAN,10.13592,6.94411,8.246744021,1.147468793,0,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,0.227588889,-0.168242089,-0.737040282,1.749549774,1.577629086,Moderate
2016,1043,AL,1,43,CULLMAN,7.36016,6.94411,5.244895422,0.812435774,29.89798911,-0.286071474,0.742927822,-0.655931602,-0.600230032,-0.467486151,-0.794488985,-1.023215464,Ultisols,0.72706125,-0.484853217,-0.737040282,1.749549774,1.577629086,Moderate
2000,1049,AL,1,49,DE KALB,5.024,6.741025882,5.839626708,0.847875367,35.13080579,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,1.726367972,-0.63869947,-0.999930125,1.165223008,0.738787652,Severe
2001,1049,AL,1,49,DE KALB,7.3476,6.741025882,8.054711494,1.217716979,0,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,-0.151095681,0.337889784,-0.999930125,1.165223008,0.738787652,Normal
2002,1049,AL,1,49,DE KALB,5.2752,6.741025882,5.793978796,0.847796612,38.33236613,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,0.307120658,-0.23736142,-0.999930125,1.165223008,0.738787652,Moderate
2003,1049,AL,1,49,DE KALB,6.28,6.741025882,6.337711911,0.939653595,0,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,-0.332859293,0.897533398,-0.999930125,1.165223008,0.738787652,Normal
2004,1049,AL,1,49,DE KALB,8.5408,6.741025882,7.492775244,1.096513606,0,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,-0.133606734,0.31336357,-0.999930125,1.165223008,0.738787652,Normal
2005,1049,AL,1,49,DE KALB,8.1012,6.741025882,7.892665956,1.165714101,56.73815197,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,-0.332859293,0.065871773,-0.999930125,1.165223008,0.738787652,Normal
2006,1049,AL,1,49,DE KALB,3.6424,6.741025882,5.092063179,0.6883671,45.34382551,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,0.435381567,-0.832679527,-0.999930125,1.165223008,0.738787652,Severe
2007,1049,AL,1,49,DE KALB,5.024,6.741025882,7.343924842,1.13636851,44.1176324,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,2.955004506,-0.995444403,-0.999930125,1.165223008,0.738787652,Severe
2008,1049,AL,1,49,DE KALB,4.4588,6.741025882,5.8199234,0.828788257,34.26403168,-0.484547931,1.006418854,-0.841419755,-0.632254555,-0.867286954,-0.998787874,-0.900852726,Ultisols,1.900925443,-0.116960005,-0.999930125,1.165223008,0.738787652,Moderate
